"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Species.Code","Common.Name","Confidence","study_area","site","round","ARU","Date","Time","Date_time","Observer","Detections","Comments","COMMENTS","Detection","NA.","DETECTIONS","CommentsS","Columns","Commnets","Detectoins","FSelection","Delta.Time..s.","Delta.Freq..Hz.","Avg.Power.Density..dB.FS.Hz.","Comments.1","Coments","Comments.1.Spectrogram.1.1.2217.000000000.2220.000000000.150.000.12000.000.leabit.Least.Bittern.0.4385.0.RWBL.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.leabit.Least.Bittern.0.5114.0.RWBL..Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections.Comments","Detections.Comments.1.Spectrogram.1.1.1101.000000000.1104.000000000.150.000.12000.000.pibgre.Pied.billed.Grebe.0.4530.0.FROG.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.y00475.American.Coot.0.5864.0..3.Spectrogram.1.1.900.000000000.903.000000000.150.000.12000.000.leabit.Least.Bittern.0.6202.0...Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections","Detectios","Day","day_standardized","recording_day"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"062500","2023-04-25 06:25:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"072502","2023-04-25 07:25:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"46","1","Spectrogram 1","1","1803","1806","150","12000","leabit","Least Bittern","0.7887","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"082502","2023-04-25 08:25:02",NA,"0","WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"47","2","Spectrogram 1","1","2958","2961","150","12000","leabit","Least Bittern","0.8202","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"082502","2023-04-25 08:25:02",NA,"0","WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"092502","2023-04-25 09:25:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"172100","2023-04-25 17:21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"182102","2023-04-25 18:21:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"51","1","Spectrogram 1","1","1641","1644","150","12000","sora","Sora","0.416","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"192102","2023-04-25 19:21:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"52","2","Spectrogram 1","1","1662","1665","150","12000","sora","Sora","0.625","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"192102","2023-04-25 19:21:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"53","3","Spectrogram 1","1","1887","1890","150","12000","sora","Sora","0.6751","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"192102","2023-04-25 19:21:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
